tweet_id,favorites_count,retweets_count
892420643555336193,36241,7712
892177421306343426,31250,5699
891815181378084864,23531,3778
891689557279858688,39518,7868
891327558926688256,37726,8484
891087950875897856,19005,2841
890971913173991426,11072,1851
890729181411237888,61040,17210
890609185150312448,26173,3916
890240255349198849,29896,6701
890006608113172480,28781,6683
889880896479866881,26189,4553
889665388333682689,45084,9131
889638837579907072,25368,4094
889531135344209921,14199,2058
889278841981685760,23634,4861
888917238123831296,27309,4105
888804989199671297,23995,3870
888554962724278272,18542,3178
888078434458587136,20434,3162
887705289381826560,28380,4913
887517139158093824,43521,10744
887473957103951883,64502,16427
887343217045368832,31591,9556
887101392804085760,28735,5444
886983233522544640,32789,7004
886736880519319552,11247,2934
886680336477933568,21083,4082
886366144734445568,19848,2892
886267009285017600,111,4
886258384151887873,26268,5767
886054160059072513,0,100
885984800019947520,30571,6128
885528943205470208,33739,5832
885518971528720385,19235,3406
885311592912609280,0,16907
885167619883638784,20549,3993
884925521741709313,72314,16517
884876753390489601,26127,5098
884562892145688576,22796,4293
884441805382717440,25421,5200
884247878851493888,68110,18544
884162670584377345,19147,2734
883838122936631299,20513,3137
883482846933004288,43015,9021
883360690899218434,21277,3379
883117836046086144,34815,6061
882992080364220416,22419,3556
882762694511734784,26542,4469
882627270321602560,26277,5552
882268110199369728,42078,10566
882045870035918850,27510,4465
881906580714921986,22833,3105
881666595344535552,47532,9752
881633300179243008,118,7
881536004380872706,46431,14583
881268444196462592,21816,4815
880935762899988482,16035,2549
880872448815771648,19979,3497
880465832366813184,26751,5681
880221127280381952,25315,3805
880095782870896641,25932,3967
879862464715927552,21008,3200
879674319642796034,297,10
879492040517615616,22055,2912
879415818425184262,99337,40594
879376492567855104,15782,2861
879130579576475649,0,6225
879050749262655488,21156,4292
879008229531029506,17848,2456
878776093423087618,18190,3742
878604707211726852,28320,6501
878404777348136964,0,1177
878316110768087041,0,6100
878281511006478336,7273,1177
878057613040115712,39577,6225
877736472329191424,74495,17351
877611172832227328,0,73
877556246731214848,21345,3493
877316821321428993,25751,4769
877201837425926144,25477,5120
876838120628539392,19470,3054
876537666061221889,22228,4301
876484053909872640,17661,2173
876120275196170240,26327,4284
875747767867523072,23674,3910
875144289856114688,20628,4511
875097192612077568,25842,5578
875021211251597312,24006,4337
874680097055178752,26183,4251
874434818259525634,0,13356
874296783580663808,24553,3773
874057562936811520,21407,3657
874012996292530176,32319,9426
873580283840344065,22842,3620
873337748698140672,0,1472
873213775632977920,6757,1472
872967104147763200,25740,4990
872820683541237760,13918,3431
872620804844003328,19557,3359
872486979161796608,38499,8339
872122724285648897,32445,7472
871879754684805121,35536,10148
871762521631449091,19125,3227
871515927908634625,19098,3217
871166179821445120,0,5288
871102520638267392,19810,5106
871032628920680449,21527,3543
870804317367881728,31849,5730
870726314365509632,115,3
870656317836468226,11707,2452
870374049280663552,78649,24563
870308999962521604,20781,3854
870063196459192321,34633,7716
869772420881756160,40347,9396
869702957897576449,26808,5862
869596645499047938,15148,2906
869227993411051520,19393,3517
868880397819494401,62138,13438
868639477480148993,0,1938
868622495443632128,25371,4938
868552278524837888,9589,1938
867900495410671616,23024,3900
867774946302451713,32338,6864
867421006826221569,15315,2326
867072653475098625,0,111
867051520902168576,30693,7366
866720684873056260,19100,4485
866686824827068416,18394,3272
866450705531457537,116491,32983
866334964761202691,49991,13356
866094527597207552,0,7852
865718153858494464,24491,5270
865359393868664832,25270,4700
865006731092295680,26753,7226
864873206498414592,30840,8158
864279568663928832,13938,2841
864197398364647424,28672,8331
863907417377173506,19693,3895
863553081350529029,14610,3940
863471782782697472,0,2288
863432100342583297,22762,4947
863427515083354112,2110,90
863079547188785154,8408,1047
863062471531167744,8104,2288
862831371563274240,18390,4858
862722525377298433,16383,3340
862457590147678208,19603,4657
862096992088072192,71133,21863
861383897657036800,34608,10125
861288531465048066,16484,3914
861005113778896900,16042,3610
860981674716409858,0,2034
860924035999428608,0,759
860563773140209665,7199,2034
860524505164394496,22707,5039
860276583193509888,17671,3326
860184849394610176,16055,5548
860177593139703809,0,29349
859924526012018688,18842,3902
859851578198683649,14850,3335
859607811541651456,17935,1487
859196978902773760,86476,28665
859074603037188101,32590,12972
858860390427611136,0,7725
858843525470990336,15032,3320
858471635011153920,20759,4631
858107933456039936,15211,2772
857989990357356544,15554,2479
857746408056729600,33116,10155
857393404942143489,5697,1572
857263160327368704,19405,4323
857214891891077121,219,17
857062103051644929,0,162
857029823797047296,18256,3817
856543823941562368,15825,2771
856526610513747968,11516,1801
856330835276025856,0,646
856288084350160898,499,15
856282028240666624,26909,6041
855862651834028034,328,25
855860136149123072,4783,939
855857698524602368,11533,2032
855851453814013952,44446,17361
855818117272018944,25920,5226
855459453768019968,29024,7925
855245323840757760,0,5753
855138241867124737,0,43
854732716440526848,22159,5859
854482394044301312,28581,6650
854365224396361728,18426,4540
854120357044912130,31239,7235
854010172552949760,15855,3055
853760880890318849,27924,5572
853639147608842240,33909,9752
853299958564483072,15162,3458
852936405516943360,0,1940
852912242202992640,8851,1765
852672615818899456,14614,2102
852553447878664193,15985,3383
852311364735569921,32535,9695
852226086759018497,19621,6682
852189679701164033,11251,1552
851861385021730816,0,19
851591660324737024,15991,3400
851464819735769094,23849,6900
851224888060895234,20343,5609
850753642995093505,30313,8939
850380195714523136,12895,2554
850333567704068097,3404,322
850145622816686080,16088,3716
850019790995546112,20112,4779
849776966551130114,30013,7446
849668094696017920,0,4864
849412302885593088,15652,3101
849336543269576704,11271,1867
849051919805034497,41796,8335
848690551926992896,24879,4246
848324959059550208,24414,4536
848213670039564288,8080,720
848212111729840128,16134,2993
847978865427394560,0,3210
847971574464610304,0,425
847962785489326080,23249,5002
847842811428974592,5386,1314
847617282490613760,6920,409
847606175596138505,18570,3380
847251039262605312,20295,4257
847157206088847362,19695,5763
847116187444137987,21269,3136
846874817362120707,19919,3880
846514051647705089,44238,11411
846505985330044928,13991,3031
846153765933735936,31365,8930
846139713627017216,30796,9895
846042936437604353,15859,2834
845812042753855489,28997,8604
845677943972139009,24998,4740
845397057150107648,7584,1785
845306882940190720,23168,5335
845098359547420673,0,7573
844979544864018432,13548,2530
844973813909606400,14979,3157
844580511645339650,16373,3099
844223788422217728,13573,2179
843981021012017153,15099,2919
843856843873095681,21356,4580
843604394117681152,16790,2724
843235543001513987,21421,5981
842846295480000512,15224,3615
842765311967449089,6702,1271
842535590457499648,18031,3481
842163532590374912,24354,5753
842115215311396866,13935,3014
841833993020538882,0,14990
841680585030541313,25649,7770
841439858740625411,12622,3669
841320156043304961,19759,5478
841314665196081154,15805,4627
841077006473256960,22824,5288
840761248237133825,0,1762
840728873075638272,0,16071
840698636975636481,174,2
840696689258311684,12271,969
840632337062862849,8997,1762
840370681858686976,16433,4522
840268004936019968,19234,5706
839990271299457024,13402,2271
839549326359670784,27452,7725
839290600511926273,0,143
839239871831150596,27093,6520
838952994649550848,19647,3991
838921590096166913,11160,2060
838916489579200512,0,35
838831947270979586,0,10985
838561493054533637,10944,1336
838476387338051585,22503,4769
838201503651401729,0,10054
838150277551247360,1675,332
838085839343206401,140,1
838083903487373313,17630,3135
837820167694528512,34178,7852
837482249356513284,3853,443
837471256429613056,12826,2276
837110210464448512,16101,2367
836989968035819520,12792,2294
836753516572119041,19357,4647
836677758902222849,12638,2229
836648853927522308,0,555
836397794269200385,0,27535
836380477523124226,14800,2994
836260088725786625,21358,4312
836001077879255040,19131,4271
835685285446955009,0,8145
835574547218894849,17843,3629
835536468978302976,0,1704
835309094223372289,0,20993
835297930240217089,16532,3024
835264098648616962,7772,1704
835246439529840640,2110,73
835172783151792128,26255,5782
835152434251116546,22483,3026
834931633769889797,10849,1650
834786237630337024,21423,5515
834574053763584002,13721,2551
834477809192075265,0,10690
834458053273591808,9658,1691
834209720923721728,20694,4771
834167344700198914,15888,3672
834089966724603904,10102,2146
834086379323871233,13133,2218
833863086058651648,13485,2419
833826103416520705,18123,3791
833732339549220864,0,222
833722901757046785,20897,3237
833479644947025920,14912,2058
833124694597443584,20306,4864
832998151111966721,13327,2215
832769181346996225,0,39
832757312314028032,16947,3647
832682457690300417,11943,2934
832645525019123713,2949,533
832636094638288896,15929,2803
832397543355072512,12022,2232
832369877331693569,17272,3210
832273440279240704,11411,2351
832215909146226688,0,6240
832215726631055365,0,9395
832088576586297345,62,2
832040443403784192,0,9687
832032802820481025,17984,4684
831939777352105988,24151,6174
831926988323639298,338,34
831911600680497154,27795,6551
831670449226514432,10516,1836
831650051525054464,7197,1940
831552930092285952,9031,2327
831322785565769729,9338,1564
831315979191906304,6593,1135
831309418084069378,11834,2481
831262627380748289,11999,2065
830956169170665475,8034,1510
830583320585068544,67317,16907
830173239259324417,0,5726
830097400375152640,9878,2973
829878982036299777,0,5058
829861396166877184,12322,1966
829501995190984704,31994,10690
829449946868879360,10540,2041
829141528400556032,24588,7414
829011960981237760,53518,16436
828801551087042563,0,3446
828770345708580865,25781,5924
828708714936930305,36795,11278
828650029636317184,9589,1363
828409743546925057,6404,1174
828408677031882754,7733,1304
828381636999917570,12691,2232
828376505180889089,7446,1082
828372645993398273,12653,2971
828361771580813312,2215,173
828046555563323392,11854,2898
828011680017821696,10436,2168
827933404142436356,20289,5300
827653905312006145,15637,3043
827600520311402496,7509,953
827324948884643840,16007,3084
827199976799354881,10683,2244
826958653328592898,21782,5058
826848821049180160,36717,10283
826615380357632002,0,4029
826598799820865537,5162,255
826598365270007810,10143,2368
826476773533745153,18594,4237
826240494070030336,13430,2637
